,frame,x,y
11,144,732.77,568.56
12,145,731.74,568.22
13,146,730.71,567.88
14,147,729.68,567.54
15,148,728.65,567.2
16,149,727.62,566.86
17,150,726.59,566.52
18,151,725.56,566.18
19,152,724.53,565.84
20,153,723.5,565.5
21,154,723.24,565.41
22,155,722.98,565.32
23,156,722.72,565.23
24,157,722.46,565.14
25,158,722.2,565.05
26,159,721.94,564.96
27,160,721.68,564.87
28,161,721.42,564.78
29,162,721.16,564.69
30,163,720.9,564.6
31,164,720.47,564.32
32,165,720.03,564.03
33,166,719.6,563.75
34,167,719.17,563.47
35,168,718.73,563.18
36,169,718.3,562.9
37,170,713.6,563.33
38,171,708.9,563.75
39,172,704.2,564.18
40,173,699.5,564.6
41,174,696.18,563.33
42,175,692.85,562.05
43,176,689.53,560.78
44,177,686.2,559.5
45,178,696.5,558.0
46,179,706.8,556.5
47,180,695.7,555.0
48,181,684.6,553.5
49,182,666.85,552.65
50,183,649.1,551.8
51,184,632.4,550.4
52,185,625.3,551.45
53,186,618.2,552.5
54,187,626.7,554.1
55,188,645.67,556.0
56,189,664.63,557.9
57,190,683.6,559.8
58,191,719.2,561.2
59,192,724.1,562.5
60,193,737.1,563.8
61,194,737.87,563.97
62,195,738.64,564.14
63,196,739.41,564.31
64,197,740.18,564.48
65,198,740.95,564.65
66,199,741.72,564.82
67,200,742.49,564.99
68,201,743.26,565.16
69,202,744.03,565.33
70,203,744.8,565.5
71,204,744.97,565.5
72,205,745.14,565.5
73,206,745.31,565.5
74,207,745.48,565.5
75,208,745.65,565.5
76,209,745.82,565.5
77,210,745.99,565.5
78,211,746.16,565.5
79,212,746.33,565.5
80,213,746.5,565.5
81,214,745.65,565.5
82,215,744.8,565.5
