,frame,x,y
119,263,730.87,555.53
120,264,728.5,555.4
121,265,727.58,555.4
122,266,726.66,555.4
123,267,725.74,555.4
124,268,724.82,555.4
125,269,723.9,555.4
126,270,722.98,555.4
127,271,722.06,555.4
128,272,721.14,555.4
129,273,720.22,555.4
130,274,719.3,555.4
131,275,718.9,555.4
132,276,718.5,555.4
133,277,718.1,555.4
134,278,717.7,555.4
135,279,717.3,555.4
136,280,716.9,555.4
137,281,716.5,555.4
138,282,716.1,555.4
139,283,715.7,555.4
140,284,715.3,555.4
141,285,712.36,554.74
142,286,709.41,554.09
143,287,706.47,553.43
144,288,703.53,552.77
145,289,700.59,552.11
146,290,697.64,551.46
147,291,694.7,550.8
148,292,680.43,550.13
149,293,666.17,549.47
150,294,651.9,548.8
151,295,650.77,549.2
152,296,649.63,549.6
153,297,648.5,550.0
154,298,654.06,551.76
155,299,659.62,553.52
156,300,665.18,555.28
157,301,670.74,557.04
158,302,676.3,558.8
159,303,689.2,562.4
160,304,702.1,566.0
161,305,707.37,562.47
162,306,712.63,558.93
163,307,717.9,555.4
164,308,720.02,555.4
165,309,722.14,555.4
166,310,724.26,555.4
167,311,726.38,555.4
168,312,728.5,555.4
169,313,728.5,555.4
170,314,728.5,555.4
171,315,728.5,555.4
172,316,728.5,555.4
173,317,728.5,555.4
174,318,728.5,555.4
175,319,728.5,555.4
176,320,728.5,555.4
177,321,728.5,555.4
178,322,728.5,555.4
