,frame,x,y
15,265,694.45,576.3
16,266,694.32,576.3
17,267,694.19,576.3
18,268,694.06,576.3
19,269,693.93,576.3
20,270,693.8,576.3
21,271,692.66,575.67
22,272,691.52,575.04
23,273,690.38,574.41
24,274,689.24,573.78
25,275,688.1,573.15
26,276,686.96,572.52
27,277,685.82,571.89
28,278,684.68,571.26
29,279,683.54,570.63
30,280,682.4,570.0
31,281,684.04,570.13
32,282,685.68,570.26
33,283,687.32,570.39
34,284,688.96,570.52
35,285,690.6,570.65
36,286,692.24,570.78
37,287,693.88,570.91
38,288,695.52,571.04
39,289,697.16,571.17
40,290,698.8,571.3
41,291,689.61,570.93
42,292,680.43,570.55
43,293,671.24,570.18
44,294,662.05,569.8
45,295,652.86,569.43
46,296,643.68,569.05
47,297,634.49,568.68
48,298,625.3,568.3
49,299,627.95,567.9
50,300,630.6,567.5
51,301,637.68,567.63
52,302,644.76,567.76
53,303,651.84,567.89
54,304,658.92,568.02
55,305,666.0,568.15
56,306,673.08,568.28
57,307,680.16,568.41
58,308,687.24,568.54
59,309,694.32,568.67
60,310,701.4,568.8
61,311,703.17,569.56
62,312,704.94,570.32
63,313,706.71,571.08
64,314,708.48,571.84
65,315,710.25,572.6
66,316,712.02,573.36
67,317,713.79,574.12
68,318,715.56,574.88
69,319,717.33,575.64
70,320,719.1,576.4
71,321,719.1,576.53
72,322,719.1,576.66
73,323,719.1,576.79
74,324,719.1,576.92
75,325,719.1,577.05
76,326,719.1,577.18
