,frame,x,y
6,8,663.1,506.9
7,9,663.5,506.9
8,10,663.9,506.9
9,11,664.3,506.9
10,12,664.7,506.9
11,13,664.3,507.03
12,14,663.9,507.16
13,15,663.5,507.29
14,16,663.1,507.42
15,17,662.7,507.55
16,18,662.3,507.68
17,19,661.9,507.81
18,20,661.5,507.94
19,21,661.1,508.07
20,22,660.7,508.2
21,23,661.62,508.33
22,24,662.54,508.46
23,25,663.46,508.59
24,26,664.38,508.72
25,27,665.3,508.85
26,28,666.22,508.98
27,29,667.14,509.11
28,30,668.06,509.24
29,31,668.98,509.37
30,32,669.9,509.5
31,33,664.36,508.84
32,34,658.82,508.18
33,35,653.28,507.52
34,36,647.74,506.86
35,37,642.2,506.2
36,38,636.66,505.54
37,39,631.12,504.88
38,40,625.58,504.22
39,41,620.04,503.56
40,42,614.5,502.9
41,43,605.5,503.15
42,44,596.5,503.4
43,45,590.7,503.7
44,46,604.6,492.1
45,47,607.35,497.2
46,48,610.1,502.3
47,49,615.8,503.1
48,50,621.5,503.9
49,51,627.2,504.7
50,52,632.9,505.5
51,53,648.6,506.6
52,54,656.5,507.7
53,55,683.7,516.7
54,56,687.8,516.6
55,57,693.8,517.8
56,58,691.92,517.46
57,59,690.04,517.12
58,60,688.16,516.78
59,61,686.28,516.44
60,62,684.4,516.1
61,63,682.82,516.1
62,64,681.24,516.1
63,65,679.66,516.1
64,66,678.08,516.1
65,67,676.5,516.1
66,68,674.92,516.1
67,69,673.34,516.1
68,70,671.76,516.1
69,71,670.18,516.1
70,72,668.6,516.1
71,73,667.68,515.97
72,74,666.76,515.84
