,frame,x,y
24,264,595.27,554.73
25,265,596.78,554.12
26,266,598.3,553.5
27,267,618.2,551.05
28,268,638.1,548.6
29,269,643.2,547.3
30,270,643.4,551.0
31,271,644.3,538.7
32,272,647.2,539.65
33,273,650.1,540.6
34,274,653.0,541.55
35,275,655.9,542.5
36,276,658.8,543.45
37,277,661.7,544.4
38,278,658.47,546.6
39,279,655.23,548.8
40,280,652.0,551.0
41,281,653.24,551.0
42,282,654.48,551.0
43,283,655.72,551.0
44,284,656.96,551.0
45,285,658.2,551.0
46,286,659.44,551.0
47,287,660.68,551.0
48,288,661.92,551.0
49,289,663.16,551.0
50,290,664.4,551.0
51,291,661.1,543.25
52,292,657.8,535.5
53,293,654.5,530.5
54,294,649.6,526.2
55,295,653.5,525.2
56,296,657.16,525.2
57,297,660.82,525.2
58,298,664.48,525.2
59,299,668.14,525.2
60,300,671.8,525.2
61,301,666.53,523.63
62,302,661.27,522.07
63,303,656.0,520.5
64,304,655.73,518.39
65,305,655.46,516.27
66,306,655.19,514.16
67,307,654.91,512.04
68,308,654.64,509.93
69,309,654.37,507.81
70,310,654.1,505.7
71,311,653.9,506.0
72,312,652.2,508.0
73,313,653.6,511.5
74,314,658.2,515.0
75,315,651.6,515.8
76,316,656.0,517.5
77,317,653.1,512.6
78,318,663.4,522.3
79,319,657.5,521.4
80,320,668.3,535.1
81,321,643.4,539.5
82,322,629.1,543.9
83,323,618.3,529.4
84,324,612.7,528.3
85,325,607.1,527.2
86,326,616.05,528.7
87,327,625.0,530.2
88,328,637.33,534.7
89,329,649.67,539.2
90,330,662.0,543.7
91,331,673.4,542.7
92,332,669.1,544.4
93,333,668.7,544.8
94,334,670.4,545.2
95,335,676.2,545.6
96,336,674.58,545.94
97,337,672.96,546.28
98,338,671.34,546.62
99,339,669.72,546.96
100,340,668.1,547.3
101,341,670.76,547.3
102,342,673.41,547.3
103,343,676.07,547.3
104,344,678.73,547.3
105,345,681.39,547.3
106,346,684.04,547.3
107,347,686.7,547.3
108,348,689.5,547.3
109,349,688.0,547.3
110,350,684.1,547.3
111,351,705.0,548.5
112,352,710.8,548.35
113,353,716.6,548.2
114,354,722.3,548.1
