,frame,x,y
11,207,614.47,527.5
12,208,615.04,527.37
13,209,615.61,527.24
14,210,616.19,527.1
15,211,616.76,526.97
16,212,617.33,526.83
17,213,617.9,526.7
18,214,619.5,526.57
19,215,621.1,526.43
20,216,622.7,526.3
21,217,627.72,521.07
22,218,632.73,515.83
23,219,637.75,510.6
24,220,642.77,505.37
25,221,647.78,500.13
26,222,652.8,494.9
27,223,655.97,495.27
28,224,659.13,495.63
29,225,662.3,496.0
30,226,667.6,481.4
31,227,667.57,485.23
32,228,667.53,489.07
33,229,667.5,492.9
34,230,667.47,496.73
35,231,667.43,500.57
36,232,667.4,504.4
37,233,654.93,508.55
38,234,642.45,512.7
39,235,629.98,516.85
40,236,617.5,521.0
41,237,613.4,516.1
42,238,609.3,511.2
43,239,606.35,508.55
44,240,603.4,505.9
45,241,607.03,508.73
46,242,610.67,511.57
47,243,614.3,514.4
48,244,623.73,515.73
49,245,633.17,517.07
50,246,642.6,518.4
51,247,643.39,518.27
52,248,644.18,518.14
53,249,644.97,518.01
54,250,645.76,517.88
55,251,646.55,517.75
56,252,647.34,517.62
57,253,648.13,517.49
58,254,648.92,517.36
59,255,649.71,517.23
60,256,650.5,517.1
61,257,650.9,517.1
62,258,651.3,517.1
63,259,651.7,517.1
64,260,652.1,517.1
65,261,652.5,517.1
66,262,652.9,517.1
67,263,653.3,517.1
68,264,653.7,517.1
69,265,654.1,517.1
70,266,654.5,517.1
71,267,654.5,517.1
72,268,654.5,517.1
73,269,654.5,517.1
