,frame,x,y
16,176,715.46,541.16
17,177,713.72,539.97
18,178,711.98,538.78
19,179,710.24,537.59
20,180,708.5,536.4
21,181,708.5,536.4
22,182,708.5,536.4
23,183,708.5,536.4
24,184,708.5,536.4
25,185,708.5,536.4
26,186,708.5,536.4
27,187,708.5,536.4
28,188,708.5,536.4
29,189,708.5,536.4
30,190,708.5,536.4
31,191,709.88,536.68
32,192,711.26,536.96
33,193,712.64,537.24
34,194,714.02,537.52
35,195,715.4,537.8
36,196,716.78,538.08
37,197,718.16,538.36
38,198,719.54,538.64
39,199,720.92,538.92
40,200,722.3,539.2
41,201,710.54,535.0
42,202,698.78,530.8
43,203,687.02,526.6
44,204,675.26,522.4
45,205,663.5,518.2
46,206,648.6,513.2
47,207,648.37,515.5
48,208,648.13,517.8
49,209,647.9,520.1
50,210,669.1,534.6
51,211,688.3,536.4
52,212,692.18,538.23
53,213,696.06,540.07
54,214,699.93,541.9
55,215,703.81,543.73
56,216,707.69,545.57
57,217,711.57,547.4
58,218,715.44,549.23
59,219,719.32,551.07
60,220,723.2,552.9
61,221,723.2,552.9
62,222,723.2,552.9
63,223,723.2,552.9
64,224,723.2,552.9
65,225,723.2,552.9
66,226,723.2,552.9
67,227,723.2,552.9
68,228,723.2,552.9
69,229,723.2,552.9
70,230,723.2,552.9
71,231,723.2,552.9
72,232,723.2,552.9
73,233,723.2,552.9
74,234,723.2,552.9
75,235,723.2,552.9
