,frame,x,y
24,102,703.2,529.36
25,103,703.8,528.5
26,104,704.4,527.64
27,105,705.0,526.78
28,106,705.6,525.92
29,107,706.2,525.06
30,108,706.8,524.2
31,109,707.37,523.03
32,110,707.94,521.86
33,111,708.51,520.69
34,112,709.09,519.51
35,113,709.66,518.34
36,114,710.23,517.17
37,115,710.8,516.0
38,116,703.17,511.57
39,117,695.53,507.13
40,118,687.9,502.7
41,119,689.88,503.82
42,120,691.86,504.94
43,121,693.84,506.06
44,122,695.82,507.18
45,123,697.8,508.3
46,124,699.78,509.42
47,125,701.76,510.54
48,126,703.74,511.66
49,127,705.72,512.78
50,128,707.7,513.9
51,129,683.6,509.65
52,130,659.5,505.4
53,131,650.85,512.3
54,132,642.2,519.2
55,133,641.5,523.9
56,134,640.8,528.6
57,135,640.1,533.3
58,136,653.17,533.43
59,137,666.23,533.57
60,138,679.3,533.7
61,139,681.19,533.61
62,140,683.08,533.52
63,141,684.97,533.43
64,142,686.86,533.34
65,143,688.75,533.25
66,144,690.64,533.16
67,145,692.53,533.07
68,146,694.42,532.98
69,147,696.31,532.89
70,148,698.2,532.8
71,149,698.2,532.8
72,150,698.2,532.8
73,151,698.2,532.8
74,152,698.2,532.8
75,153,698.2,532.8
76,154,698.2,532.8
77,155,698.2,532.8
78,156,698.2,532.8
79,157,698.2,532.8
80,158,698.2,532.8
81,159,698.2,532.8
82,160,698.2,532.8
83,161,698.2,532.8
