,frame,x,y
17,97,670.66,564.96
18,98,674.84,565.84
19,99,679.02,566.72
20,100,683.2,567.6
21,101,675.68,563.76
22,102,668.16,559.92
23,103,660.64,556.08
24,104,653.12,552.24
25,105,645.6,548.4
26,106,647.92,548.28
27,107,650.24,548.16
28,108,652.56,548.04
29,109,654.88,547.92
30,110,657.2,547.8
31,111,657.44,548.8
32,112,657.68,549.8
33,113,657.92,550.8
34,114,658.16,551.8
35,115,658.4,552.8
36,116,643.8,537.2
37,117,643.6,539.4
38,118,643.4,541.6
39,119,655.6,550.0
40,120,673.9,564.5
41,121,682.5,571.5
42,122,674.9,566.2
43,123,667.2,562.72
44,124,659.5,559.23
45,125,651.8,555.75
46,126,644.1,552.27
47,127,636.4,548.78
48,128,628.7,545.3
49,129,585.0,516.7
50,130,578.7,504.1
51,131,552.2,505.0
52,132,555.15,506.33
53,133,558.1,507.65
54,134,561.05,508.98
55,135,564.0,510.3
56,136,570.42,514.38
57,137,576.84,518.46
58,138,583.26,522.54
59,139,589.68,526.62
60,140,596.1,530.7
61,141,597.42,530.04
62,142,598.74,529.38
63,143,600.06,528.72
64,144,601.38,528.06
65,145,602.7,527.4
66,146,604.02,526.74
67,147,605.34,526.08
68,148,606.66,525.42
69,149,607.98,524.76
70,150,609.3,524.1
71,151,608.81,519.0
72,152,608.33,513.9
73,153,607.84,508.8
74,154,607.36,503.7
75,155,606.87,498.6
76,156,606.39,493.5
77,157,605.9,488.4
78,158,617.17,499.43
79,159,628.43,510.47
80,160,639.7,521.5
81,161,636.18,515.35
82,162,632.65,509.2
83,163,629.13,503.05
84,164,625.6,496.9
85,165,629.4,495.3
86,166,626.2,496.83
87,167,623.0,498.37
88,168,619.8,499.9
89,169,624.0,504.6
90,170,634.4,506.1
91,171,628.15,500.05
92,172,621.9,494.0
93,173,630.65,499.4
94,174,639.4,504.8
95,175,640.1,507.85
96,176,640.8,510.9
97,177,636.85,495.5
98,178,632.9,480.1
99,179,631.7,503.0
100,180,648.9,522.8
101,181,647.28,521.85
102,182,645.65,520.89
103,183,644.03,519.94
104,184,642.41,518.98
105,185,640.78,518.03
106,186,639.16,517.08
107,187,637.54,516.12
108,188,635.92,515.17
109,189,634.29,514.22
110,190,632.67,513.26
111,191,631.05,512.31
112,192,629.42,511.35
113,193,627.8,510.4
114,194,631.11,511.18
115,195,634.42,511.96
116,196,637.73,512.73
117,197,641.04,513.51
118,198,644.36,514.29
119,199,647.67,515.07
120,200,650.98,515.84
121,201,654.29,516.62
122,202,657.6,517.4
123,203,659.31,520.05
124,204,661.03,522.7
125,205,662.74,525.35
126,206,664.45,528.0
127,207,666.16,530.65
128,208,667.88,533.3
129,209,669.59,535.95
130,210,671.3,538.6
131,211,671.3,539.13
132,212,671.3,539.66
133,213,671.3,540.19
134,214,671.3,540.72
135,215,671.3,541.25
136,216,671.3,541.78
137,217,671.3,542.31
138,218,671.3,542.84
139,219,671.3,543.37
140,220,671.3,543.9
141,221,676.05,548.92
142,222,680.8,553.94
143,223,685.55,558.96
144,224,690.3,563.98
145,225,695.05,569.0
146,226,699.8,574.02
147,227,704.55,579.04
148,228,709.3,584.06
149,229,714.05,589.08
150,230,718.8,594.1
151,231,716.42,593.18
152,232,714.04,592.26
153,233,711.66,591.34
154,234,709.28,590.42
155,235,706.9,589.5
156,236,704.52,588.58
157,237,702.14,587.66
158,238,699.76,586.74
159,239,697.38,585.82
160,240,695.0,584.9
161,241,694.6,583.98
162,242,694.2,583.06
163,243,693.8,582.14
164,244,693.4,581.22
165,245,693.0,580.3
166,246,692.6,579.38
167,247,692.2,578.46
