,frame,x,y
7,417,712.33,575.71
8,418,713.26,575.97
9,419,714.18,576.24
10,420,715.1,576.5
11,421,714.57,576.37
12,422,714.04,576.24
13,423,713.51,576.11
14,424,712.98,575.98
15,425,712.45,575.85
16,426,711.92,575.72
17,427,711.39,575.59
18,428,710.86,575.46
19,429,710.33,575.33
20,430,709.8,575.2
21,431,709.18,575.07
22,432,708.57,574.93
23,433,707.95,574.8
24,434,707.33,574.67
25,435,706.72,574.53
26,436,706.1,574.4
27,437,705.48,574.27
28,438,704.87,574.13
29,439,704.25,574.0
30,440,703.63,573.87
31,441,703.02,573.73
32,442,702.4,573.6
33,443,701.78,573.47
34,444,701.17,573.33
35,445,700.55,573.2
36,446,699.93,573.07
37,447,699.32,572.93
38,448,698.7,572.8
39,449,698.08,572.67
40,450,697.47,572.53
41,451,696.85,572.4
42,452,696.23,572.27
43,453,695.62,572.13
44,454,695.0,572.0
45,455,694.38,571.87
46,456,693.77,571.73
47,457,693.15,571.6
48,458,692.53,571.47
49,459,691.92,571.33
50,460,691.3,571.2
51,461,677.38,568.1
52,462,663.45,565.0
53,463,649.53,561.9
54,464,635.6,558.8
55,465,642.02,560.65
56,466,648.43,562.5
57,467,654.85,564.35
58,468,661.27,566.2
59,469,667.68,568.05
60,470,674.1,569.9
61,471,675.95,570.3
62,472,677.8,570.7
63,473,679.65,571.1
64,474,681.5,571.5
65,475,683.35,571.9
66,476,685.2,572.3
67,477,687.05,572.7
68,478,688.9,573.1
69,479,690.75,573.5
70,480,692.6,573.9
71,481,688.15,573.27
72,482,683.7,572.65
73,483,679.25,572.02
74,484,674.8,571.4
75,485,670.35,570.77
76,486,665.9,570.15
77,487,661.45,569.52
78,488,657.0,568.9
79,489,661.6,570.75
80,490,666.2,572.6
81,491,672.35,574.05
