,frame,x,y
4,43,603.9,549.13
5,44,598.4,545.27
6,45,592.9,541.4
7,46,592.6,538.0
8,47,607.5,537.0
9,48,622.4,536.0
10,49,637.3,535.0
11,50,642.0,533.5
12,51,645.0,533.4
13,52,647.1,533.3
14,53,649.2,533.2
15,54,650.1,533.1
16,55,652.0,533.0
17,56,654.5,532.9
18,57,654.5,532.8
19,58,652.65,532.7
20,59,650.8,532.6
21,60,649.2,527.9
22,61,635.4,523.6
23,62,636.85,523.5
24,63,638.3,523.4
25,64,639.75,523.3
26,65,641.2,523.2
27,66,651.3,529.3
28,67,653.6,529.0
29,68,655.9,528.7
30,69,647.1,527.7
31,70,633.1,519.2
32,71,624.9,516.3
33,72,617.2,512.3
34,73,614.35,508.4
35,74,611.5,504.5
36,75,608.65,500.6
37,76,605.8,496.7
38,77,604.6,495.55
39,78,603.4,494.4
40,79,605.2,496.9
41,80,604.37,496.25
42,81,603.53,495.6
43,82,602.7,494.95
44,83,601.87,494.3
45,84,601.03,493.65
46,85,600.2,493.0
47,86,598.5,492.5
48,87,606.9,505.45
49,88,615.3,518.4
50,89,601.6,531.4
51,90,598.15,533.83
52,91,594.7,536.25
53,92,591.25,538.68
54,93,587.8,541.1
55,94,588.0,542.0
56,95,587.7,541.7
57,96,593.8,541.4
58,97,600.8,541.05
59,98,607.8,540.7
60,99,633.6,547.4
61,100,639.7,548.33
62,101,645.8,549.27
63,102,651.9,550.2
64,103,651.57,549.97
65,104,651.24,549.74
66,105,650.91,549.51
67,106,650.59,549.29
68,107,650.26,549.06
69,108,649.93,548.83
70,109,649.6,548.6
71,110,661.5,551.2
72,111,661.13,551.04
73,112,660.77,550.89
74,113,660.4,550.73
75,114,660.03,550.58
76,115,659.67,550.42
77,116,659.3,550.27
78,117,658.93,550.11
79,118,658.57,549.96
80,119,658.2,549.8
81,120,656.11,549.31
82,121,654.02,548.82
83,122,651.93,548.33
