,frame,x,y
2,406,719.4,532.8
3,407,713.73,531.94
4,408,708.06,531.09
5,409,702.39,530.23
6,410,696.71,529.37
7,411,691.04,528.51
8,412,685.37,527.66
9,413,679.7,526.8
10,414,678.5,532.0
11,415,679.94,530.14
12,416,681.39,528.29
13,417,682.83,526.43
14,418,684.27,524.57
15,419,685.71,522.71
16,420,687.16,520.86
17,421,688.6,519.0
18,422,684.37,521.57
19,423,680.13,524.13
20,424,675.9,526.7
21,425,674.18,528.42
22,426,672.46,530.14
23,427,670.74,531.86
24,428,669.02,533.58
25,429,667.3,535.3
26,430,659.78,533.32
27,431,652.26,531.34
28,432,644.74,529.36
29,433,637.22,527.38
30,434,629.7,525.4
31,435,619.68,525.66
32,436,609.66,525.92
33,437,599.64,526.18
34,438,589.62,526.44
35,439,579.6,526.7
36,440,586.98,526.96
37,441,594.36,527.22
38,442,601.74,527.48
39,443,609.12,527.74
40,444,616.5,528.0
41,445,622.03,529.07
42,446,627.57,530.13
43,447,633.1,531.2
44,448,635.77,529.93
45,449,638.43,528.67
46,450,641.1,527.4
47,451,642.2,526.9
48,452,643.3,526.4
49,453,644.4,525.9
50,454,645.5,525.4
51,455,652.9,524.75
52,456,660.3,524.1
53,457,659.6,524.76
54,458,658.9,525.43
55,459,658.2,526.09
56,460,657.5,526.75
57,461,656.8,527.41
58,462,656.1,528.08
59,463,655.4,528.74
60,464,654.7,529.4
61,465,653.38,529.0
62,466,652.06,528.6
