,frame,x,y
26,171,662.38,518.98
27,172,663.96,517.26
28,173,665.54,515.54
29,174,667.12,513.82
30,175,668.7,512.1
31,176,668.96,510.65
32,177,669.22,509.2
33,178,669.48,507.75
34,179,669.74,506.3
35,180,670.0,504.85
36,181,670.26,503.4
37,182,670.52,501.95
38,183,670.78,500.5
39,184,671.04,499.05
40,185,671.3,497.6
41,186,669.85,498.33
42,187,668.4,499.05
43,188,666.95,499.78
44,189,665.5,500.5
45,190,664.05,502.22
46,191,662.6,503.93
47,192,661.15,505.65
48,193,659.7,507.37
49,194,658.25,509.08
50,195,656.8,510.8
51,196,648.48,507.9
52,197,640.16,505.0
53,198,631.84,502.1
54,199,623.52,499.2
55,200,615.2,496.3
56,201,617.44,499.72
57,202,619.68,503.14
58,203,621.92,506.56
59,204,624.16,509.98
60,205,626.4,513.4
61,206,635.26,510.22
62,207,644.12,507.04
63,208,652.98,503.86
64,209,661.84,500.68
65,210,670.7,497.5
66,211,667.92,498.56
67,212,665.14,499.62
68,213,662.36,500.68
69,214,659.58,501.74
70,215,656.8,502.8
71,216,655.8,493.9
72,217,659.0,497.97
73,218,662.2,502.03
74,219,665.4,506.1
75,220,665.97,508.87
76,221,666.53,511.63
77,222,667.1,514.4
78,223,665.0,511.87
79,224,662.9,509.33
80,225,660.8,506.8
81,226,664.64,505.74
82,227,668.48,504.68
83,228,672.32,503.62
84,229,676.16,502.56
85,230,680.0,501.5
86,231,675.9,502.56
